,depth_in_subtree,height_in_subtree,idea,idea_label,idea_probability,is_leaf,is_root,num_children,num_ideas_under,num_instances,num_instances_under,num_nodes_under,num_workers,parent,question_code,subtree_probability,subtree_root,subtree_oscore,idea_oscore
1317,1,1,1128514,,0.000501002004008016,True,False,0,1,1,1,1,1,1128511,charity,0.008016032064128256,1128511,0.9919839679358717,0.999498997995992
1318,1,1,1128515,,0.000501002004008016,True,False,0,1,1,1,1,1,1128511,charity,0.008016032064128256,1128511,0.9919839679358717,0.999498997995992
1319,1,1,1128516,,0.000501002004008016,True,False,0,1,1,1,1,1,1128511,charity,0.008016032064128256,1128511,0.9919839679358717,0.999498997995992
1320,1,1,1128517,,0.000501002004008016,False,False,1,1,1,2,2,1,1128511,charity,0.008016032064128256,1128511,0.9919839679358717,0.999498997995992
1321,2,0,1128518,,0.000501002004008016,True,False,0,1,1,1,1,1,1128517,charity,0.008016032064128256,1128511,0.9919839679358717,0.999498997995992
1322,1,1,1128519,,0.001002004008016032,True,False,0,2,2,2,1,2,1128511,charity,0.008016032064128256,1128511,0.9919839679358717,0.998997995991984
1323,1,1,1128520,,0.000501002004008016,True,False,0,1,1,1,1,1,1128511,charity,0.008016032064128256,1128511,0.9919839679358717,0.999498997995992
1324,1,1,1128521,,0.000501002004008016,True,False,0,1,1,1,1,1,1128511,charity,0.008016032064128256,1128511,0.9919839679358717,0.999498997995992
1325,1,1,1128522,,0.000501002004008016,True,False,0,1,1,1,1,1,1128511,charity,0.008016032064128256,1128511,0.9919839679358717,0.999498997995992
1326,1,1,1128523,,0.000501002004008016,True,False,0,1,1,1,1,1,1128511,charity,0.008016032064128256,1128511,0.9919839679358717,0.999498997995992
1327,1,1,1128524,,0.000501002004008016,True,False,0,1,1,1,1,1,1128511,charity,0.008016032064128256,1128511,0.9919839679358717,0.999498997995992
1328,1,1,1128525,,0.000501002004008016,True,False,0,1,1,1,1,1,1128511,charity,0.008016032064128256,1128511,0.9919839679358717,0.999498997995992
1329,1,0,1128527,,0.000501002004008016,True,False,0,1,1,1,1,1,1128526,charity,0.001503006012024048,1128526,0.998496993987976,0.999498997995992
1330,1,0,1128528,,0.000501002004008016,True,False,0,1,1,1,1,1,1128526,charity,0.001503006012024048,1128526,0.998496993987976,0.999498997995992
1331,1,0,1128529,,0.000501002004008016,True,False,0,1,1,1,1,1,1128526,charity,0.001503006012024048,1128526,0.998496993987976,0.999498997995992
1332,1,0,1128531,,0.000501002004008016,True,False,0,1,1,1,1,1,1128530,charity,0.001503006012024048,1128530,0.998496993987976,0.999498997995992
1333,1,0,1128532,,0.000501002004008016,True,False,0,1,1,1,1,1,1128530,charity,0.001503006012024048,1128530,0.998496993987976,0.999498997995992
1334,1,0,1128533,,0.000501002004008016,True,False,0,1,1,1,1,1,1128530,charity,0.001503006012024048,1128530,0.998496993987976,0.999498997995992
1335,0,0,1128534,,0.000501002004008016,True,True,0,1,1,1,1,1,-1,charity,0.000501002004008016,1128534,0.999498997995992,0.999498997995992
1336,0,0,1128535,Internet currency accept,0.000501002004008016,True,True,0,1,1,1,1,1,-1,charity,0.000501002004008016,1128535,0.999498997995992,0.999498997995992
1337,1,0,1128537,,0.001002004008016032,True,False,0,2,2,2,1,2,1128536,charity,0.001503006012024048,1128536,0.998496993987976,0.998997995991984
1338,1,0,1128538,,0.000501002004008016,True,False,0,1,1,1,1,1,1128536,charity,0.001503006012024048,1128536,0.998496993987976,0.999498997995992
1339,1,0,1128540,,0.000501002004008016,True,False,0,1,1,1,1,1,1128539,charity,0.001503006012024048,1128539,0.998496993987976,0.999498997995992
1340,1,0,1128541,,0.000501002004008016,True,False,0,1,1,1,1,1,1128539,charity,0.001503006012024048,1128539,0.998496993987976,0.999498997995992
1341,1,0,1128542,,0.000501002004008016,True,False,0,1,1,1,1,1,1128539,charity,0.001503006012024048,1128539,0.998496993987976,0.999498997995992
1342,1,2,1128544,,0.000501002004008016,True,False,0,1,1,1,1,1,1128543,charity,0.008016032064128256,1128543,0.9919839679358717,0.999498997995992
1343,1,2,1128545,,0.000501002004008016,True,False,0,1,1,1,1,1,1128543,charity,0.008016032064128256,1128543,0.9919839679358717,0.999498997995992
1344,1,2,1128546,,0.000501002004008016,True,False,0,1,1,1,1,1,1128543,charity,0.008016032064128256,1128543,0.9919839679358717,0.999498997995992
1345,1,2,1128547,,0.000501002004008016,False,False,6,1,1,10,10,1,1128543,charity,0.008016032064128256,1128543,0.9919839679358717,0.999498997995992
1346,2,1,1128548,,0.000501002004008016,True,False,0,1,1,1,1,1,1128547,charity,0.008016032064128256,1128543,0.9919839679358717,0.999498997995992
1347,2,1,1128549,,0.000501002004008016,True,False,0,1,1,1,1,1,1128547,charity,0.008016032064128256,1128543,0.9919839679358717,0.999498997995992
1348,2,1,1128550,,0.000501002004008016,True,False,0,1,1,1,1,1,1128547,charity,0.008016032064128256,1128543,0.9919839679358717,0.999498997995992
1349,2,1,1128551,,0.000501002004008016,False,False,3,1,1,4,4,1,1128547,charity,0.008016032064128256,1128543,0.9919839679358717,0.999498997995992
1350,3,0,1128552,,0.000501002004008016,True,False,0,1,1,1,1,1,1128551,charity,0.008016032064128256,1128543,0.9919839679358717,0.999498997995992
1351,3,0,1128553,,0.000501002004008016,True,False,0,1,1,1,1,1,1128551,charity,0.008016032064128256,1128543,0.9919839679358717,0.999498997995992
1352,3,0,1128554,,0.000501002004008016,True,False,0,1,1,1,1,1,1128551,charity,0.008016032064128256,1128543,0.9919839679358717,0.999498997995992
1353,2,1,1128555,,0.000501002004008016,True,False,0,1,1,1,1,1,1128547,charity,0.008016032064128256,1128543,0.9919839679358717,0.999498997995992
1354,2,1,1128556,,0.000501002004008016,True,False,0,1,1,1,1,1,1128547,charity,0.008016032064128256,1128543,0.9919839679358717,0.999498997995992
1355,1,2,1128557,,0.000501002004008016,True,False,0,1,1,1,1,1,1128543,charity,0.008016032064128256,1128543,0.9919839679358717,0.999498997995992
1356,1,2,1128558,,0.000501002004008016,True,False,0,1,1,1,1,1,1128543,charity,0.008016032064128256,1128543,0.9919839679358717,0.999498997995992
1357,1,2,1128560,,0.000501002004008016,True,False,0,1,1,1,1,1,1128543,charity,0.008016032064128256,1128543,0.9919839679358717,0.999498997995992
1358,0,0,1128561,,0.000501002004008016,True,True,0,1,1,1,1,1,-1,charity,0.000501002004008016,1128561,0.999498997995992,0.999498997995992
1359,0,0,1128562,Iphone costume,0.000501002004008016,True,True,0,1,1,1,1,1,-1,charity,0.000501002004008016,1128562,0.999498997995992,0.999498997995992
1360,2,1,1128565,,0.000501002004008016,False,False,4,1,1,5,5,1,1128564,charity,0.0045090180360721445,1128563,0.9954909819639278,0.999498997995992
1361,3,0,1128566,,0.000501002004008016,True,False,0,1,1,1,1,1,1128565,charity,0.0045090180360721445,1128563,0.9954909819639278,0.999498997995992
1362,3,0,1128567,,0.000501002004008016,True,False,0,1,1,1,1,1,1128565,charity,0.0045090180360721445,1128563,0.9954909819639278,0.999498997995992
1363,3,0,1128568,,0.000501002004008016,True,False,0,1,1,1,1,1,1128565,charity,0.0045090180360721445,1128563,0.9954909819639278,0.999498997995992
1364,3,0,1128569,,0.000501002004008016,True,False,0,1,1,1,1,1,1128565,charity,0.0045090180360721445,1128563,0.9954909819639278,0.999498997995992
1365,2,1,1128570,,0.000501002004008016,True,False,0,1,1,1,1,1,1128564,charity,0.0045090180360721445,1128563,0.9954909819639278,0.999498997995992
1366,1,2,1128571,,0.000501002004008016,True,False,0,1,1,1,1,1,1128563,charity,0.0045090180360721445,1128563,0.9954909819639278,0.999498997995992
1367,1,2,1128572,,0.000501002004008016,True,False,0,1,1,1,1,1,1128563,charity,0.0045090180360721445,1128563,0.9954909819639278,0.999498997995992
1368,1,2,1128573,,0.000501002004008016,True,False,0,1,1,1,1,1,1128563,charity,0.0045090180360721445,1128563,0.9954909819639278,0.999498997995992
1369,0,0,1128574,,0.000501002004008016,True,True,0,1,1,1,1,1,-1,charity,0.000501002004008016,1128574,0.999498997995992,0.999498997995992
1370,0,0,1128575,,0.000501002004008016,True,True,0,1,1,1,1,1,-1,charity,0.000501002004008016,1128575,0.999498997995992,0.999498997995992
1371,0,1,1128576,,0.000501002004008016,False,True,1,1,1,2,2,1,-1,charity,0.001002004008016032,1128576,0.998997995991984,0.999498997995992
1372,1,0,1128577,Loans from banks,0.000501002004008016,True,False,0,1,1,1,1,1,1128576,charity,0.001002004008016032,1128576,0.998997995991984,0.999498997995992
1373,0,0,1128578,Look at failures,0.000501002004008016,True,True,0,1,1,1,1,1,-1,charity,0.000501002004008016,1128578,0.999498997995992,0.999498997995992
1374,0,0,1128579,,0.000501002004008016,True,True,0,1,1,1,1,1,-1,charity,0.000501002004008016,1128579,0.999498997995992,0.999498997995992
1375,0,0,1128580,,0.000501002004008016,True,True,0,1,1,1,1,1,-1,charity,0.000501002004008016,1128580,0.999498997995992,0.999498997995992
1376,0,0,1128581,,0.000501002004008016,True,True,0,1,1,1,1,1,-1,charity,0.000501002004008016,1128581,0.999498997995992,0.999498997995992
1377,2,0,1128584,,0.000501002004008016,True,False,0,1,1,1,1,1,1128583,charity,0.012024048096192385,1128582,0.9879759519038076,0.999498997995992
1378,2,0,1128585,,0.000501002004008016,True,False,0,1,1,1,1,1,1128583,charity,0.012024048096192385,1128582,0.9879759519038076,0.999498997995992
1379,2,0,1128586,,0.000501002004008016,True,False,0,1,1,1,1,1,1128583,charity,0.012024048096192385,1128582,0.9879759519038076,0.999498997995992
